
 num     #instances         #bytes  class name
 365:            13           6136  com.intellij.openapi.actionSystem.impl.StubItem
 366:           255           6120  javax.swing.text.html.parser.Entity
 367:            17           6120  com.intellij.openapi.wm.impl.InternalDecorator$MyDivider
 368:           254           6096  com.intellij.openapi.vfs.impl.local.LocalFileSystemImpl$WatchRequestImpl
 369:           252           6048  javax.swing.ActionMap
 370:           251           6024  org.jdom.Comment
 371:            17           5984  com.intellij.ui.content.impl.ContentManagerImpl$MyFocusProxy
 372:            17           5984  com.intellij.ui.content.impl.ContentManagerImpl$MyContentComponent
 373:            17           5984  com.intellij.openapi.wm.impl.ToolWindowHeader$1
 374:            14           5936  com.intellij.openapi.wm.impl.content.ContentTabLabel
 375:            92           5888  org.jetbrains.idea.maven.model.MavenArtifact
 376:           147           5880  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl$AdoptedChild
 377:            61           5856  com.intellij.util.indexing.ValueContainerMap
 378:           177           5664  com.intellij.psi.tree.TokenSet
 379:           235           5640  com.intellij.psi.impl.compiled.ClsParameterImpl$1
 380:           235           5640  sun.awt.X11.XKeysym$Keysym2JavaKeycode
 381:            88           5632  com.intellij.psi.impl.source.tree.java.PsiNewExpressionImpl
 382:           117           5616  com.intellij.openapi.vfs.newvfs.persistent.PersistentFSImpl$JarRoot
 383:           234           5616  com.intellij.internal.statistic.beans.UsageDescriptor
 384:           234           5616  java.util.concurrent.ConcurrentLinkedQueue$Node
 385:           350           5600  java.awt.RenderingHints
 386:           349           5584  sun.reflect.generics.tree.ClassTypeSignature
 387:            87           5568  com.intellij.psi.impl.source.tree.java.NameValuePairElement
 388:           139           5560  java.io.ObjectStreamField
 389:           231           5544  java.util.regex.Pattern$5
 390:            16           5504  com.intellij.openapi.fileEditor.impl.EditorComposite$TopBottomPanel
 391:           229           5496  javax.swing.InputMap
 392:           171           5472  com.intellij.psi.impl.compiled.ClsIdentifierImpl
 393:            48           5376  java.awt.GridBagConstraints
 394:           222           5328  java.util.Arrays$ArrayList
